scope,model_1,model_2,b,c,p_raw,p_adj_bh,significant
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF50-AIF50__7,4,2,0.6875,0.846723,False
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF50-AIF50__7,11,7,0.480682,0.645759,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF50-AIF50__7,0,79,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF0-AIF100__3,71,104,0.015564,0.030155,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF0-AIF100__3,0,19,4e-06,1.4e-05,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF0-AIF100__3,3,4,1.0,1.0,False
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF0-AIF100__3,68,0,0.0,0.0,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF0-AIF100__3,0,81,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF100-AIF0__10,19,58,1.5e-05,4.9e-05,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF100-AIF0__10,7,8,1.0,1.0,False
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF100-AIF0__10,12,0,0.000488,0.001245,True
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF100-AIF0__10,0,11,0.000977,0.002384,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF100-AIF0__10,0,39,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF33-AIF67__1,23,104,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF33-AIF67__1,1,16,0.000275,0.000735,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF33-AIF67__1,6,3,0.507812,0.65432,False
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF33-AIF67__1,16,4,0.011818,0.02356,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF33-AIF67__1,0,81,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF50-AIF50__1,14,107,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF50-AIF50__1,0,17,1.5e-05,4.9e-05,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF50-AIF50__1,5,2,0.453125,0.611761,False
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF50-AIF50__1,9,7,0.803619,0.965142,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF50-AIF50__1,0,81,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF67-AIF33__2,9,105,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF67-AIF33__2,1,14,0.000977,0.002384,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF67-AIF33__2,5,1,0.21875,0.329033,False
