scope,model_1,model_2,b,c,p_raw,p_adj_bh,significant
overall,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF0-AIF100__6,61,26,0.000267,0.00072,True
HR,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF0-AIF100__6,0,2,0.5,0.648479,False
AI-R,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF0-AIF100__6,1,24,1.1e-05,3.7e-05,True
HF,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF0-AIF100__6,57,0,0.0,0.0,True
AI-F,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF0-AIF100__6,3,0,0.25,0.357966,False
overall,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF100-AIF0__8,98,33,0.0,0.0,True
HR,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF100-AIF0__8,5,0,0.0625,0.104728,False
AI-R,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF100-AIF0__8,1,23,3e-06,1.1e-05,True
HF,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF100-AIF0__8,10,10,1.0,1.0,False
AI-F,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF100-AIF0__8,82,0,0.0,0.0,True
overall,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF100-AIF0__9,98,33,0.0,0.0,True
HR,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF100-AIF0__9,5,0,0.0625,0.104728,False
AI-R,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF100-AIF0__9,1,23,3e-06,1.1e-05,True
HF,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF100-AIF0__9,10,10,1.0,1.0,False
AI-F,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF100-AIF0__9,82,0,0.0,0.0,True
overall,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF33-AIF67__6,19,19,0.871131,1.0,False
HR,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF33-AIF67__6,7,1,0.070312,0.116296,False
AI-R,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF33-AIF67__6,6,12,0.237885,0.35414,False
HF,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF33-AIF67__6,6,6,1.0,1.0,False
AI-F,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF33-AIF67__6,0,0,1.0,1.0,False
overall,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF50-AIF50__7,16,35,0.011719,0.023405,True
HR,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF50-AIF50__7,5,2,0.453125,0.611761,False
AI-R,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF50-AIF50__7,0,23,0.0,1e-06,True
HF,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF50-AIF50__7,10,10,1.0,1.0,False
AI-F,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR50-AIR50-HF50-AIF50__7,1,0,1.0,1.0,False
overall,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF0-AIF100__4,58,25,0.000444,0.001151,True
HR,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF0-AIF100__4,0,2,0.5,0.648479,False
AI-R,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF0-AIF100__4,2,23,6.3e-05,0.000185,True
HF,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF0-AIF100__4,54,0,0.0,0.0,True
AI-F,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF0-AIF100__4,2,0,0.5,0.648479,False
overall,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF100-AIF0__10,81,21,0.0,0.0,True
HR,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF100-AIF0__10,5,0,0.0625,0.104728,False
AI-R,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF100-AIF0__10,7,18,0.0455,0.078981,False
HF,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF100-AIF0__10,12,3,0.035156,0.062574,False
AI-F,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF100-AIF0__10,57,0,0.0,0.0,True
overall,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF33-AIF67__4,15,22,0.32394,0.456623,False
HR,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF33-AIF67__4,1,1,1.0,1.0,False
AI-R,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF33-AIF67__4,0,19,4e-06,1.4e-05,True
HF,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF33-AIF67__4,11,2,0.022461,0.041862,True
AI-F,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF33-AIF67__4,3,0,0.25,0.357966,False
overall,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF50-AIF50__4,12,24,0.066753,0.111426,False
HR,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF50-AIF50__4,6,0,0.03125,0.056173,False
AI-R,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF50-AIF50__4,1,14,0.000977,0.002384,True
HF,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF50-AIF50__4,4,10,0.179565,0.27542,False
AI-F,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF50-AIF50__4,1,0,1.0,1.0,False
overall,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF67-AIF33__3,21,21,0.877371,1.0,False
HR,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF67-AIF33__3,1,0,1.0,1.0,False
AI-R,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF67-AIF33__3,0,18,8e-06,2.6e-05,True
HF,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF67-AIF33__3,18,3,0.00149,0.003596,True
AI-F,bert__HR100-AIR0-HF50-AIF50__12,distilbert__HR67-AIR33-HF67-AIF33__3,2,0,0.5,0.648479,False
overall,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF0-AIF100__5,69,18,0.0,0.0,True
HR,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF0-AIF100__5,0,1,1.0,1.0,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF0-AIF100__5,1,17,0.000145,0.000406,True
HF,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF0-AIF100__5,68,0,0.0,0.0,True
AI-F,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF0-AIF100__5,0,0,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF100-AIF0__8,74,20,0.0,0.0,True
HR,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF100-AIF0__8,17,0,1.5e-05,4.9e-05,True
AI-R,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF100-AIF0__8,5,9,0.42395,0.580297,False
HF,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF100-AIF0__8,0,11,0.000977,0.002384,True
AI-F,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF100-AIF0__8,52,0,0.0,0.0,True
overall,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF100-AIF0__9,74,20,0.0,0.0,True
HR,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF100-AIF0__9,17,0,1.5e-05,4.9e-05,True
AI-R,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF100-AIF0__9,5,9,0.42395,0.580297,False
HF,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF100-AIF0__9,0,11,0.000977,0.002384,True
AI-F,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF100-AIF0__9,52,0,0.0,0.0,True
overall,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF33-AIF67__5,8,16,0.15159,0.235505,False
HR,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF33-AIF67__5,3,1,0.625,0.778565,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF33-AIF67__5,2,8,0.109375,0.177929,False
HF,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF33-AIF67__5,3,6,0.507812,0.65432,False
AI-F,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF33-AIF67__5,0,1,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF50-AIF50__7,16,19,0.735317,0.894971,False
HR,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF50-AIF50__7,3,1,0.625,0.778565,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF50-AIF50__7,2,13,0.007385,0.015386,True
HF,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF50-AIF50__7,8,4,0.387695,0.532683,False
AI-F,bert__HR100-AIR0-HF67-AIF33__14,bert__HR50-AIR50-HF50-AIF50__7,3,1,0.625,0.778565,False
overall,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF0-AIF100__3,69,16,0.0,0.0,True
HR,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF0-AIF100__3,0,1,1.0,1.0,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF0-AIF100__3,1,15,0.000519,0.001311,True
HF,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF0-AIF100__3,68,0,0.0,0.0,True
AI-F,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF0-AIF100__3,0,0,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF100-AIF0__10,67,20,1e-06,3e-06,True
HR,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF100-AIF0__10,17,0,1.5e-05,4.9e-05,True
AI-R,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF100-AIF0__10,8,9,1.0,1.0,False
HF,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF100-AIF0__10,0,11,0.000977,0.002384,True
AI-F,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF100-AIF0__10,42,0,0.0,0.0,True
overall,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF33-AIF67__1,17,12,0.457614,0.615529,False
HR,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF33-AIF67__1,3,0,0.25,0.357966,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF33-AIF67__1,1,11,0.006348,0.013456,True
HF,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF33-AIF67__1,13,1,0.001831,0.004353,True
AI-F,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF33-AIF67__1,0,0,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF50-AIF50__1,8,15,0.21004,0.320475,False
HR,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF50-AIF50__1,1,0,1.0,1.0,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF50-AIF50__1,1,11,0.006348,0.013456,True
HF,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF50-AIF50__1,6,4,0.753906,0.913508,False
AI-F,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF50-AIF50__1,0,0,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF67-AIF33__2,6,16,0.052479,0.090588,False
HR,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF67-AIF33__2,5,0,0.0625,0.104728,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF67-AIF33__2,1,10,0.011719,0.023405,True
HF,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF67-AIF33__2,0,5,0.0625,0.104728,False
AI-F,bert__HR100-AIR0-HF67-AIF33__14,bert__HR67-AIR33-HF67-AIF33__2,0,1,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF0-AIF100__13,57,9,0.0,0.0,True
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF0-AIF100__13,0,1,1.0,1.0,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF0-AIF100__13,9,8,1.0,1.0,False
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF0-AIF100__13,48,0,0.0,0.0,True
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF0-AIF100__13,0,0,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF100-AIF0__15,29,10,0.003948,0.008753,True
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF100-AIF0__15,5,0,0.0625,0.104728,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF100-AIF0__15,18,3,0.00149,0.003596,True
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF100-AIF0__15,3,7,0.34375,0.48019,False
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF100-AIF0__15,3,0,0.25,0.357966,False
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF33-AIF67__11,41,4,0.0,0.0,True
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF33-AIF67__11,2,0,0.5,0.648479,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF33-AIF67__11,19,4,0.002599,0.005996,True
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF33-AIF67__11,20,0,2e-06,7e-06,True
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF33-AIF67__11,0,0,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF50-AIF50__12,50,4,0.0,0.0,True
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF50-AIF50__12,8,0,0.007812,0.01591,True
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF50-AIF50__12,33,0,0.0,0.0,True
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF50-AIF50__12,9,3,0.145996,0.227302,False
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF50-AIF50__12,0,1,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF67-AIF33__14,23,7,0.00617,0.013274,True
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF67-AIF33__14,1,1,1.0,1.0,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF67-AIF33__14,19,4,0.002599,0.005996,True
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF67-AIF33__14,3,2,1.0,1.0,False
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR100-AIR0-HF67-AIF33__14,0,0,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF0-AIF100__6,67,16,0.0,0.0,True
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF0-AIF100__6,0,1,1.0,1.0,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF0-AIF100__6,2,15,0.00235,0.005478,True
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF0-AIF100__6,63,0,0.0,0.0,True
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF0-AIF100__6,2,0,0.5,0.648479,False
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF100-AIF0__8,99,18,0.0,0.0,True
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF100-AIF0__8,6,0,0.03125,0.056173,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF100-AIF0__8,2,14,0.004181,0.009204,True
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF100-AIF0__8,10,4,0.179565,0.27542,False
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF100-AIF0__8,81,0,0.0,0.0,True
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF100-AIF0__9,99,18,0.0,0.0,True
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF100-AIF0__9,6,0,0.03125,0.056173,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF100-AIF0__9,2,14,0.004181,0.009204,True
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF100-AIF0__9,10,4,0.179565,0.27542,False
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF100-AIF0__9,81,0,0.0,0.0,True
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF33-AIF67__6,25,9,0.010097,0.020448,True
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF33-AIF67__6,8,1,0.039062,0.068297,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF33-AIF67__6,8,4,0.387695,0.532683,False
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF33-AIF67__6,9,3,0.145996,0.227302,False
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF33-AIF67__6,0,1,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF50-AIF50__7,15,18,0.727724,0.886225,False
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF50-AIF50__7,5,1,0.21875,0.329033,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF50-AIF50__7,1,14,0.000977,0.002384,True
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF50-AIF50__7,9,3,0.145996,0.227302,False
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR50-AIR50-HF50-AIF50__7,0,0,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF0-AIF100__4,64,15,0.0,0.0,True
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF0-AIF100__4,0,1,1.0,1.0,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF0-AIF100__4,3,14,0.012726,0.0253,True
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF0-AIF100__4,60,0,0.0,0.0,True
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF0-AIF100__4,1,0,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF100-AIF0__10,87,11,0.0,0.0,True
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF100-AIF0__10,6,0,0.03125,0.056173,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF100-AIF0__10,9,10,1.0,1.0,False
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF100-AIF0__10,16,1,0.000275,0.000735,True
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF100-AIF0__10,56,0,0.0,0.0,True
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF33-AIF67__4,20,11,0.150763,0.234556,False
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF33-AIF67__4,2,1,1.0,1.0,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF33-AIF67__4,1,10,0.011719,0.023405,True
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF33-AIF67__4,15,0,6.1e-05,0.00018,True
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF33-AIF67__4,2,0,0.5,0.648479,False
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF50-AIF50__4,15,11,0.556298,0.712993,False
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF50-AIF50__4,7,0,0.015625,0.030155,True
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF50-AIF50__4,4,7,0.548828,0.703833,False
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF50-AIF50__4,4,4,1.0,1.0,False
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF50-AIF50__4,0,0,1.0,1.0,False
overall,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF67-AIF33__3,26,10,0.012419,0.024736,True
HR,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF67-AIF33__3,2,0,0.5,0.648479,False
AI-R,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF67-AIF33__3,1,9,0.021484,0.040704,True
HF,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF67-AIF33__3,22,1,6e-06,2.1e-05,True
AI-F,bert__HR100-AIR0-HF67-AIF33__14,distilbert__HR67-AIR33-HF67-AIF33__3,1,0,1.0,1.0,False
overall,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF100-AIF0__8,82,79,0.874755,1.0,False
HR,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF100-AIF0__8,18,0,8e-06,2.6e-05,True
AI-R,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF100-AIF0__8,12,0,0.000488,0.001245,True
HF,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF100-AIF0__8,0,79,0.0,0.0,True
AI-F,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF100-AIF0__8,52,0,0.0,0.0,True
overall,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF100-AIF0__9,82,79,0.874755,1.0,False
HR,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF100-AIF0__9,18,0,8e-06,2.6e-05,True
AI-R,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF100-AIF0__9,12,0,0.000488,0.001245,True
HF,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF100-AIF0__9,0,79,0.0,0.0,True
AI-F,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF100-AIF0__9,52,0,0.0,0.0,True
overall,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF33-AIF67__5,13,72,0.0,0.0,True
HR,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF33-AIF67__5,3,0,0.25,0.357966,False
AI-R,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF33-AIF67__5,10,0,0.001953,0.004602,True
HF,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF33-AIF67__5,0,71,0.0,0.0,True
AI-F,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF33-AIF67__5,0,1,1.0,1.0,False
overall,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF50-AIF50__7,11,65,0.0,0.0,True
HR,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF50-AIF50__7,3,0,0.25,0.357966,False
AI-R,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF50-AIF50__7,5,0,0.0625,0.104728,False
HF,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF50-AIF50__7,0,64,0.0,0.0,True
AI-F,bert__HR50-AIR50-HF0-AIF100__5,bert__HR50-AIR50-HF50-AIF50__7,3,1,0.625,0.778565,False
overall,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF0-AIF100__3,3,1,0.625,0.778565,False
HR,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF0-AIF100__3,0,0,1.0,1.0,False
AI-R,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF0-AIF100__3,3,1,0.625,0.778565,False
HF,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF0-AIF100__3,0,0,1.0,1.0,False
AI-F,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF0-AIF100__3,0,0,1.0,1.0,False
overall,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF100-AIF0__10,75,79,0.808976,0.970504,False
HR,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF100-AIF0__10,18,0,8e-06,2.6e-05,True
AI-R,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF100-AIF0__10,15,0,6.1e-05,0.00018,True
HF,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF100-AIF0__10,0,79,0.0,0.0,True
AI-F,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF100-AIF0__10,42,0,0.0,0.0,True
overall,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF33-AIF67__1,11,57,0.0,0.0,True
HR,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF33-AIF67__1,4,0,0.125,0.196441,False
AI-R,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF33-AIF67__1,7,1,0.070312,0.116296,False
HF,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF33-AIF67__1,0,56,0.0,0.0,True
AI-F,bert__HR50-AIR50-HF0-AIF100__5,bert__HR67-AIR33-HF33-AIF67__1,0,0,1.0,1.0,False
